= Coverage for C:\Users\OleJohanBondahl\Documents\GitHub_ZEN\Schematika\src\schematika\ =
------------------------------ Detailed Coverage ------------------------------
| Name                                                          |      Status |
| to_xml_element._parse_dim (L196)                              |      MISSED |
| save_svg (L253)                                               |     COVERED |
| render_to_svg (L264)                                          |     COVERED |
|---------------------------------------------------------------|-------------|
| core\state.py (module)                                        |     COVERED |
| GenerationState (L13)                                         |     COVERED |
| create_initial_state (L34)                                    |     COVERED |
|---------------------------------------------------------------|-------------|
| core\symbol.py (module)                                       |      MISSED |
| Port (L8)                                                     |     COVERED |
| Symbol (L24)                                                  |     COVERED |
|---------------------------------------------------------------|-------------|
| core\transform.py (module)                                    |      MISSED |
| tokenize_path_d (L20)                                         |     COVERED |
| translate (L25)                                               |     COVERED |
| rotate_point (L83)                                            |     COVERED |
| rotate_vector (L111)                                          |     COVERED |
| _translate_path_d (L127)                                      |     COVERED |
| rotate (L188)                                                 |     COVERED |
| _ (L201)                                                      |      MISSED |
| _ (L206)                                                      |      MISSED |
| _ (L215)                                                      |      MISSED |
| _ (L224)                                                      |      MISSED |
| _ (L229)                                                      |      MISSED |
| _ (L234)                                                      |      MISSED |
| _ (L256)                                                      |      MISSED |
| _ (L261)                                                      |      MISSED |
| _ (L277)                                                      |      MISSED |
| _rotate_path_d (L282)                                         |     COVERED |
| _rotate_path_d._rot (L294)                                    |      MISSED |
|---------------------------------------------------------------|-------------|
| core\traversal.py (module)                                    |     COVERED |
| walk_elements (L10)                                           |     COVERED |
| collect_by_type (L24)                                         |     COVERED |
| collect_by_type._collect (L28)                                |      MISSED |
|---------------------------------------------------------------|-------------|
| core\utils.py (module)                                        |     COVERED |
| natural_sort_key (L8)                                         |     COVERED |
|---------------------------------------------------------------|-------------|
| core\validation.py (module)                                   |     COVERED |
| ValidationResult (L18)                                        |     COVERED |
| collect_elements (L26)                                        |     COVERED |
| boxes_overlap (L31)                                           |     COVERED |
| text_bbox (L46)                                               |     COVERED |
| check_text_overlap (L66)                                      |     COVERED |
| check_page_bounds (L83)                                       |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\__init__.py (module)                               |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\builder.py (module)                                |     COVERED |
| CircuitBuilder (L42)                                          |     COVERED |
| CircuitBuilder.__init__ (L63)                                 |     COVERED |
| CircuitBuilder._check_not_frozen (L85)                        |      MISSED |
| CircuitBuilder.set_layout (L91)                               |     COVERED |
| CircuitBuilder.add_terminal (L129)                            |     COVERED |
| CircuitBuilder._resolve_placement (L315)                      |     COVERED |
| CircuitBuilder.add_symbol (L368)                              |     COVERED |
| CircuitBuilder.add_spdt (L545)                                |     COVERED |
| CircuitBuilder.add_reference (L730)                           |     COVERED |
| CircuitBuilder.add_reference.fixed_gen (L774)                 |      MISSED |
| CircuitBuilder._connect_placed_reference (L870)               |     COVERED |
| CircuitBuilder.connect_matching (L909)                        |     COVERED |
| CircuitBuilder.connect (L937)                                 |     COVERED |
